t;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
32,1;15,8;15,66;15,75;70,07;223,73;222,92;223,55;50,22;49,98;50,05;24,52;22,69;22,87;11144,05;6
33,7;15,83;15,69;15,75;70,09;223,8;223,04;223,54;50,19;49,94;50,0;24,52;22,69;22,88;11144,58;6
35,3;15,86;15,73;15,75;70,11;224,75;223,81;224,62;25,63;25,47;25,23;24,53;22,7;22,88;5633,72;6
36,9;15,9;15,82;15,75;70,12;224,97;224,11;224,68;25,3;25,11;25,19;24,53;22,7;22,89;5626,07;6
38,5;15,96;15,88;15,75;70,13;223,85;223,05;223,57;50,11;49,85;49,9;24,53;22,71;22,89;11127,25;6
40,1;16,02;15,95;15,76;70,14;224,05;223,19;223,72;50,08;49,84;49,87;24,54;22,71;22,89;11128,07;6
41,7;16,07;16,02;15,77;70,16;223,86;223,05;223,61;50,02;49,76;49,8;24,54;22,72;22,9;11096,8;6
43,3;16,12;16,09;15,77;70,18;224,0;223,08;223,62;49,99;49,71;49,78;24,55;22,72;22,9;11101,31;6
44,9;16,15;16,14;15,77;70,18;224,12;223,32;223,73;49,97;49,72;49,76;24,55;22,72;22,91;11095,31;6
46,5;16,22;16,22;15,78;70,2;225,12;224,38;224,76;25,2;25,01;25,09;24,56;22,73;22,91;5609,62;6
48,1;16,29;16,31;15,79;70,2;223,99;223,18;223,69;49,94;49,67;49,74;24,56;22,73;22,92;11081,78;6
49,7;16,36;16,39;15,81;70,22;224,03;223,22;223,69;49,91;49,65;49,72;24,57;22,74;22,92;11084,41;6
51,4;16,44;16,46;15,83;70,24;223,7;222,99;223,46;49,81;49,55;49,61;24,57;22,74;22,92;11045,99;6
53,0;16,51;16,57;15,83;70,25;223,59;222,87;223,39;49,77;49,54;49,6;24,58;22,75;22,93;11049,39;6
54,6;16,59;16,65;15,85;70,27;223,78;222,98;223,44;49,78;49,52;49,59;24,58;22,75;22,93;11044,62;6
56,2;16,68;16,76;15,87;70,28;224,87;224,02;224,5;25,11;24,91;24,99;24,59;22,76;22,94;5581,26;6
57,8;16,73;16,81;15,88;70,29;223,85;223,06;223,49;49,82;49,55;49,61;24,59;22,76;22,94;11052,6;6
59,4;16,82;16,91;15,9;70,3;223,74;222,86;223,25;49,73;49,45;49,54;24,59;22,76;22,95;11044,48;6
61,0;16,9;17,01;15,92;70,31;223,96;223,17;223,53;49,75;49,5;49,54;24,6;22,77;22,95;11032,4;6
62,6;16,98;17,1;15,94;70,33;223,89;223,06;223,6;49,72;49,46;49,51;24,6;22,77;22,96;11019,4;6
64,2;17,07;17,19;15,95;70,35;223,64;222,73;223,23;49,65;49,39;49,45;24,61;22,78;22,96;11031,53;6
65,8;17,16;17,29;15,96;70,36;224,77;223,9;224,4;25,05;24,85;24,93;24,61;22,78;22,96;5563,63;6
67,4;17,27;17,41;15,98;70,37;224,93;223,95;224,52;25,05;26,25;26,33;24,61;22,79;22,97;10197,21;6
69,0;17,37;17,51;16,02;70,38;223,71;222,97;223,35;49,68;49,43;49,47;24,62;22,79;22,97;11005,04;6
70,6;17,41;17,55;16,02;70,4;223,78;222,94;223,4;49,64;49,39;49,44;24,62;22,79;22,98;11007,4;6
72,2;17,51;17,64;16,04;70,41;223,63;222,72;223,25;49,62;49,37;49,42;24,63;22,8;22,98;11015,49;6
73,8;17,62;17,76;16,07;70,42;223,73;222,86;223,34;49,59;49,34;49,4;24,63;22,8;22,99;11003,41;6
75,4;17,73;17,86;16,11;70,44;224,7;223,73;224,19;25,23;25,05;25,14;24,64;22,81;22,99;5552,46;6
77,0;17,84;17,97;16,12;70,45;224,86;223,87;224,43;25,0;24,81;24,9;24,64;22,81;23,0;5546,84;6
78,6;17,95;18,08;16,15;70,46;223,75;222,74;223,28;49,6;49,33;49,39;24,64;22,82;23,0;10982,6;6
80,2;18,04;18,18;16,18;70,48;223,47;222,52;223,0;49,55;49,3;49,34;24,65;22,82;23,0;10984,88;6
81,8;18,1;18,23;16,2;70,49;223,39;222,56;222,98;49,48;49,23;49,27;24,65;22,82;23,01;10951,4;6
83,5;18,21;18,33;16,22;70,5;223,49;222,52;223,13;49,5;49,24;49,3;24,66;22,83;23,01;10963,43;6
85,1;18,32;18,43;16,25;70,51;223,51;222,57;223,09;49,47;49,22;49,28;24,67;22,84;23,02;10951,05;6
86,6;18,44;18,55;16,28;70,53;224,57;223,53;224,14;24,95;24,75;24,84;24,67;22,84;23,02;5532,6;6
88,3;18,55;18,67;16,31;70,54;223,55;222,56;223,04;49,51;49,23;49,28;24,67;22,84;23,02;10952,18;6
89,8;18,66;18,78;16,34;70,55;223,58;222,51;223,0;49,49;49,23;49,27;24,67;22,85;23,03;10955,22;6
91,5;18,78;18,88;16,38;70,57;223,4;222,33;222,9;49,44;49,18;49,23;24,68;22,85;23,03;10944,0;6
93,1;18,89;18,99;16,4;70,58;223,46;222,39;222,94;49,44;49,19;49,24;24,69;22,86;23,04;10955,05;6
94,7;18,95;19,04;16,42;70,6;223,59;222,63;223,12;49,47;49,19;49,24;24,69;22,86;23,04;10952,8;6
96,3;19,07;19,16;16,43;70,61;224,68;223,68;224,27;24,96;24,75;24,84;24,7;22,87;23,05;5536,81;6
97,9;19,18;19,29;16,48;70,61;223,69;222,76;223,23;49,53;49,26;49,32;24,7;22,87;23,05;10965,83;6
99,5;19,31;19,39;16,52;70,63;223,75;222,68;223,27;49,53;49,22;49,28;24,7;22,87;23,05;10963,3;6
101,1;19,44;19,51;16,55;70,64;223,77;222,77;223,21;49,51;49,22;49,26;24,71;22,88;23,06;10965,1;6
102,7;19,54;19,62;16,59;70,66;223,68;222,74;223,14;49,48;49,21;49,25;24,71;22,88;23,06;10961,91;6
104,3;19,66;19,74;16,62;70,68;223,6;222,64;223,08;49,45;49,18;49,22;24,72;22,89;23,07;10955,38;6
105,9;19,72;19,86;16,66;70,69;224,72;223,7;224,09;24,94;24,73;24,8;24,72;22,89;23,08;5529,31;6
107,5;19,85;19,91;16,67;70,7;224,77;223,73;224,2;24,96;24,74;24,82;24,72;22,89;23,08;10345,36;6
109,1;19,96;20,02;16,72;70,7;223,66;222,65;223,17;49,49;49,2;49,26;24,73;22,9;23,08;10961,47;6
110,7;20,09;20,11;16,74;70,72;223,74;222,77;223,22;49,48;49,19;49,24;24,73;22,9;23,09;10949,31;6
112,3;20,21;20,22;16,79;70,74;223,73;222,77;223,25;49,44;49,16;49,21;24,74;22,91;23,09;10939,05;6
113,9;20,34;20,32;16,83;70,75;223,59;222,59;223,09;49,41;49,14;49,19;24,74;22,91;23,1;10932,57;6
115,5;20,45;20,41;16,87;70,77;223,64;222,58;223,18;28,14;28,34;28,41;24,75;22,92;23,1;5519,5;6
117,1;20,58;20,52;16,91;70,78;224,71;223,62;224,25;24,93;24,71;24,81;24,75;22,92;23,1;5523,65;6
118,7;20,66;20,57;16,96;70,78;223,57;222,53;223,03;49,44;49,15;49,21;24,75;22,92;23,11;10942,49;6
120,3;20,78;20,66;16,98;70,8;223,43;222,51;223,06;49,42;49,15;49,2;24,76;22,93;23,11;10941,1;6
121,9;20,89;20,75;17,02;70,81;223,48;222,51;223,04;49,4;49,13;49,2;24,77;22,94;23,12;10939,85;6
123,5;21,02;20,84;17,07;70,83;223,48;222,56;223,07;49,4;49,12;49,17;24,77;22,94;23,12;10924,96;6
125,1;21,14;20,95;17,09;70,85;223,6;222,63;223,1;49,39;49,12;49,16;24,77;22,94;23,13;10932,09;6
126,7;21,26;21,06;17,14;70,85;224,65;223,72;224,14;24,92;24,71;24,81;24,78;22,95;23,13;5523,44;6
128,3;21,39;21,16;17,18;70,87;223,7;222,72;223,11;49,45;49,17;49,24;24,78;22,95;23,13;10948,01;6
129,9;21,45;21,27;17,22;70,88;223,69;222,79;223,07;49,42;49,14;49,22;24,79;22,96;23,14;10955,32;6
131,5;21,55;21,3;17,24;70,89;223,67;222,82;223,3;49,44;49,18;49,25;24,79;22,96;23,14;10955,8;6
133,1;21,68;21,43;17,3;70,91;223,78;222,89;223,34;49,44;49,18;49,24;24,8;22,97;23,15;10960,12;6
134,7;21,79;21,54;17,34;70,92;223,69;222,82;223,24;49,43;49,15;49,21;24,8;22,97;23,15;10953,07;6
136,3;21,92;21,64;17,39;70,94;224,81;223,79;224,31;24,94;24,72;24,81;24,8;22,97;23,16;5533,54;6
137,9;22,04;21,76;17,44;70,94;224,24;223,18;223,16;49,05;48,75;49,23;24,81;22,98;23,16;10959,36;6
139,5;22,16;21,87;17,49;70,96;223,75;222,87;223,22;49,45;49,17;49,23;24,81;22,98;23,16;10961,85;6
141,1;22,27;21,98;17,54;70,97;223,84;222,83;223,23;49,45;49,16;49,22;24,82;22,99;23,17;10946,74;6
142,7;22,32;22,03;17,55;70,98;223,74;222,9;223,24;49,43;49,16;49,21;24,82;22,99;23,17;10953,46;6
144,3;22,45;22,14;17,61;71,0;223,86;222,98;223,37;49,44;49,17;49,24;24,83;23,0;23,18;10950,25;6
145,9;22,56;22,25;17,64;71,01;224,81;223,9;224,3;24,93;24,72;24,82;24,83;23,0;23,18;5533,83;6
147,5;22,68;22,36;17,68;71,02;224,91;224,04;224,38;24,93;24,74;24,84;24,83;23,0;23,19;5539,69;6
149,1;22,8;22,48;17,74;71,04;223,73;222,94;223,3;49,44;49,17;49,26;24,84;23,01;23,19;10953,81;6
150,7;22,91;22,61;17,79;71,05;223,76;222,94;223,25;49,43;49,19;49,26;24,84;23,01;23,19;10964,21;6
152,3;23,02;22,72;17,84;71,06;223,3;222,73;223,11;49,37;49,14;49,22;24,85;23,02;23,2;10952,68;6
153,9;23,08;22,78;17,89;71,07;223,66;222,94;223,26;49,4;49,15;49,21;24,85;23,02;23,21;10969,53;6
155,5;23,21;22,91;17,91;71,09;223,66;222,93;223,27;46,24;46,54;46,6;24,86;23,03;23,21;5562,11;6
157,1;23,35;23,04;17,96;71,1;224,72;223,88;224,25;24,89;24,7;24,79;24,86;23,03;23,21;5531,65;6
158,7;23,46;23,15;18,0;71,11;223,82;223,0;223,22;49,46;49,2;49,25;24,86;23,03;23,21;10968,0;6
160,3;23,57;23,25;18,05;71,13;223,6;222,87;223,17;49,4;49,14;49,2;24,87;23,04;23,22;10956,89;6
161,9;23,68;23,34;18,11;71,14;223,82;222,99;223,33;49,41;49,15;49,2;24,88;23,04;23,23;10964,1;6
163,5;23,79;23,44;18,16;71,15;223,63;222,86;223,06;49,38;49,12;49,16;24,88;23,05;23,23;10947,32;6
165,1;23,9;23,54;18,21;71,17;223,68;222,89;223,17;49,39;49,14;49,19;24,88;23,05;23,24;10946,42;6
166,7;23,95;23,58;18,26;71,18;224,62;223,83;224,23;24,92;24,72;24,81;24,89;23,06;23,24;5537,92;6
168,3;24,05;23,68;18,28;71,19;223,61;222,79;223,13;49,43;49,17;49,22;24,89;23,06;23,24;10939,11;6
169,9;24,18;23,78;18,34;71,2;223,69;222,83;223,1;49,41;49,16;49,21;24,9;23,06;23,25;10951,34;6
171,5;24,27;23,86;18,39;71,22;223,71;222,84;223,09;49,39;49,14;49,2;24,9;23,07;23,25;10946,26;6
173,1;24,37;23,95;18,45;71,24;223,67;222,97;223,18;49,4;49,15;49,19;24,91;23,07;23,26;10952,3;6
174,7;24,47;24,05;18,51;71,25;223,71;222,81;223,22;49,4;49,13;49,2;24,91;23,08;23,26;10957,62;6
176,3;24,58;24,16;18,55;71,26;224,56;223,65;223,91;24,89;24,68;24,79;24,91;23,08;23,27;5528,29;6
177,9;24,64;24,27;18,61;71,27;224,58;223,67;223,23;39,99;40,61;48,87;24,92;23,09;23,27;10952,24;6
179,5;24,75;24,31;18,63;71,28;223,6;222,8;223,07;49,39;49,13;49,19;24,92;23,09;23,27;10940,78;6
181,1;24,84;24,41;18,68;71,3;223,59;222,86;223,08;49,39;49,12;49,18;24,93;23,09;23,28;10945,38;6
182,7;24,94;24,5;18,75;71,31;223,46;222,64;223,07;49,37;49,08;49,15;24,93;23,1;23,28;10927,01;6
184,3;25,06;24,59;18,8;71,33;223,47;222,69;223,03;49,35;49,1;49,16;24,94;23,1;23,29;10941,18;6
185,9;25,17;24,69;18,86;71,34;224,61;223,9;224,15;24,93;24,71;24,8;24,94;23,11;23,29;5532,2;6
187,6;25,28;24,79;18,91;71,35;224,66;223,85;224,2;24,91;24,72;24,81;24,94;23,11;23,29;5535,67;6
189,2;25,39;24,86;18,96;71,36;223,6;222,88;223,18;49,4;49,17;49,21;24,95;23,12;23,3;10959,32;6
190,8;25,44;24,93;19,02;71,37;223,72;222,98;223,22;49,39;49,16;49,2;24,95;23,12;23,3;10957,31;6
192,4;25,55;24,98;19,05;71,39;223,6;222,9;223,22;49,39;49,16;49,21;24,96;23,12;23,31;10953,68;6
194,0;25,66;25,06;19,11;71,4;223,6;222,82;223,12;49,34;49,11;49,15;24,96;23,13;23,31;10962,58;6
195,6;25,78;25,14;19,17;71,42;223,49;222,8;223,09;49,35;49,12;45,93;24,97;23,13;23,32;6079,34;6
197,2;25,89;25,21;19,22;71,43;224,52;223,9;224,22;24,9;24,72;24,81;24,97;23,14;23,32;5534,1;6
198,8;26,0;25,3;19,28;71,43;223,75;223,11;223,46;49,44;49,23;49,29;24,97;23,14;23,33;10988,05;6
200,4;26,11;25,37;19,34;71,45;223,68;223,05;223,37;49,43;49,2;49,24;24,98;23,15;23,33;10972,83;6
202,0;26,22;25,45;19,4;71,47;223,49;222,83;222,8;49,29;49,07;49,15;24,98;23,15;23,34;10964,92;6
203,6;26,27;25,48;19,45;71,48;223,73;223,06;223,29;49,4;49,18;49,22;24,99;23,15;23,34;10970,03;6
205,2;26,38;25,55;19,48;71,5;220,87;220,36;220,71;48,82;48,63;48,68;24,99;23,16;23,34;10737,7;6
206,8;26,48;25,62;19,54;71,51;224,66;223,98;224,3;24,91;24,73;24,81;25,0;23,16;23,35;5542,54;6
208,4;26,59;25,7;19,58;71,52;223,72;222,96;223,21;49,45;49,2;49,24;25,0;23,17;23,35;10964,64;6
210,0;26,68;25,77;19,65;71,53;223,73;222,99;223,14;49,41;49,16;49,2;25,0;23,17;23,36;10957,18;6
211,6;26,77;25,84;19,71;71,54;223,58;222,9;223,11;49,38;49,16;49,19;25,01;23,18;23,36;10957,29;6
213,2;26,86;25,91;19,77;71,56;223,67;222,93;223,2;49,39;49,16;49,2;25,01;23,18;23,37;10959,54;6
214,8;26,98;26,0;19,82;71,57;222,37;221,62;221,68;49,24;49,02;49,04;25,02;23,19;23,37;10917,35;6
216,4;27,04;26,04;19,86;71,59;223,93;223,12;223,42;24,83;24,63;24,72;25,02;23,19;23,38;5493,02;6
218,0;27,12;26,14;19,91;71,6;223,84;222,94;223,34;42,24;42,79;42,82;25,03;23,19;23,38;10867,91;6
219,6;27,23;26,24;19,96;71,61;222,79;222,03;222,24;49,22;48,97;49,0;25,03;23,2;23,38;10860,72;6
221,2;27,33;26,32;20,02;71,63;222,79;222,09;222,31;49,21;48,97;49,01;25,04;23,2;23,39;10864,82;6
222,8;27,43;26,39;20,09;71,63;222,76;222,01;222,25;49,18;48,94;48,98;25,04;23,21;23,39;10855,48;6
224,4;27,52;26,47;20,14;71,65;222,81;221,98;222,29;49,19;48,93;49,0;25,04;23,21;23,4;10850,91;6
226,0;27,62;26,56;20,21;71,67;223,82;222,88;223,23;24,85;24,66;24,74;25,05;23,22;23,4;5488,8;6
227,6;27,68;26,61;20,27;71,67;223,92;222,99;223,42;24,83;24,62;24,72;25,05;23,22;23,4;5487,04;6
229,2;27,78;26,71;20,29;71,69;222,79;221,88;222,26;49,23;48,96;49,02;25,06;23,22;23,41;10863,37;6
230,8;27,87;26,79;20,35;71,7;222,87;222,05;222,47;49,26;49,0;49,05;25,06;23,23;23,41;10905,11;6
232,4;27,95;26,86;20,41;71,71;223,15;222,21;222,62;49,29;49,01;49,08;25,07;23,23;23,42;10900,49;6
234,0;28,03;26,94;20,46;71,73;223,34;222,4;222,74;49,3;49,03;49,08;25,07;23,24;23,42;10901,79;6
235,6;28,13;27,02;20,52;71,74;223,2;222,29;222,72;49,29;49,02;49,08;25,07;23,24;23,43;9513,83;6
237,2;28,23;27,12;20,57;71,76;224,18;223,31;223,79;24,86;24,66;24,76;25,08;23,25;23,43;5506,76;6
238,9;28,32;27,19;20,63;71,76;223,28;222,37;222,8;49,35;49,06;49,13;25,08;23,25;23,43;10905,22;6
240,5;28,36;27,23;20,66;71,78;223,32;222,25;222,85;49,34;49,04;49,12;25,09;23,25;23,44;10902,73;6
242,1;28,45;27,29;20,71;71,8;223,34;222,31;222,75;49,32;49,02;49,08;25,09;23,26;23,44;10900,52;6
243,7;28,54;27,37;20,77;71,8;223,22;222,24;222,66;49,29;49,01;49,06;25,1;23,27;23,45;10890,69;6
245,3;28,61;27,45;20,83;71,82;223,14;222,21;222,6;49,28;49,0;49,05;25,1;23,27;23,45;10878,33;6
246,9;28,7;27,52;20,89;71,83;224,24;223,22;223,75;24,87;24,67;24,75;25,11;23,27;23,46;5506,16;6
248,5;28,8;27,6;20,95;71,84;223,18;222,17;222,66;49,33;49,04;49,1;25,11;23,27;23,46;10898,22;6
250,1;28,88;27,66;21,02;71,86;223,25;222,27;222,63;49,32;49,03;49,07;25,11;23,28;23,46;10898,41;6
251,7;28,93;27,72;21,06;71,87;223,11;222,22;222,62;49,3;49,02;49,06;25,12;23,29;23,47;10891,61;6
253,3;29,0;27,75;21,09;71,88;223,26;222,23;222,66;49,3;49,02;49,05;25,12;23,29;23,47;10899,84;6
254,9;29,09;27,82;21,14;71,9;223,35;222,28;222,58;49,28;49,05;49,05;25,13;23,3;23,48;10900,18;6
256,5;29,18;27,89;21,2;71,91;224,22;223,12;223,63;24,86;24,66;24,74;25,13;23,3;23,48;5504,32;6
258,1;29,26;27,97;21,26;71,92;224,23;223,12;223,46;26,41;26,69;45,96;25,14;23,3;23,49;10874,3;6
259,7;29,34;28,04;21,31;71,93;223,12;222,14;222,47;49,27;49,01;49,04;25,14;23,31;23,49;10895,98;6
261,3;29,42;28,09;21,36;71,95;223,67;222,83;223,13;49,39;49,15;49,18;25,14;23,31;23,49;10953,95;6
262,9;29,5;28,16;21,41;71,97;223,61;222,76;223,04;49,35;49,14;49,17;25,15;23,32;23,5;10943,52;6
264,5;29,55;28,21;21,48;71,97;223,49;222,56;223,01;49,33;49,1;49,14;25,15;23,32;23,5;10931,57;6
266,1;29,64;28,27;21,51;71,99;224,44;223,72;224,12;25,08;24,73;24,81;25,16;23,32;23,51;5529,5;6
267,7;29,73;28,35;21,55;72,0;224,56;223,66;224,13;24,9;24,72;24,79;25,16;23,33;23,51;5526,24;6
269,3;29,82;28,44;21,6;72,01;223,43;222,73;223,11;49,39;49,16;49,18;25,16;23,33;23,51;10942,82;6
270,9;29,91;28,51;21,66;72,03;223,41;222,63;223,03;49,34;49,11;49,14;25,17;23,34;23,52;10928,59;6
272,5;29,99;28,59;21,71;72,04;223,46;222,56;223,03;49,35;49,11;49,14;25,17;23,34;23,52;10935,25;6
274,1;30,08;28,67;21,78;72,06;223,48;222,6;223,07;49,35;49,12;49,15;25,18;23,35;23,53;10931,14;6
275,7;30,17;28,74;21,83;72,07;223,4;222,54;223,06;49,32;49,09;49,15;25,19;23,35;23,54;10927,41;6
277,3;30,21;28,78;21,87;72,08;224,39;223,51;224,11;24,88;24,69;24,78;25,19;23,35;23,54;5521,65;6
278,9;30,3;28,86;21,91;72,09;223,34;222,61;223,0;49,38;49,13;49,17;25,19;23,36;23,54;10927,37;6
280,5;30,4;28,93;21,96;72,1;223,47;222,63;223,08;49,37;49,11;49,15;25,2;23,36;23,54;10929,37;6
282,1;30,5;29,0;22,02;72,12;223,45;222,52;223,01;49,33;49,09;49,13;25,2;23,37;23,55;10923,21;6
283,7;30,57;29,06;22,07;72,13;223,37;222,65;223,02;49,34;49,09;49,14;25,21;23,37;23,56;10929,6;6
285,3;30,65;29,11;22,13;72,15;223,35;222,45;222,98;49,31;49,07;49,13;25,21;23,38;23,56;10924,43;6
286,9;30,75;29,19;22,18;72,16;224,49;223,7;224,21;24,9;24,72;24,8;25,22;23,38;23,56;5526,34;6
288,5;30,8;29,24;22,22;72,17;223,38;222,6;223,07;49,36;49,13;49,2;25,22;23,38;23,57;10942,63;6
290,1;30,88;29,29;22,27;72,18;223,49;222,79;223,2;49,37;49,16;49,19;25,22;23,39;23,57;10950,61;6
291,6;30,95;29,34;22,33;72,19;223,47;222,75;223,18;49,36;49,14;49,18;25,23;23,39;23,58;10941,76;6
293,2;31,04;29,39;22,38;72,21;223,47;222,68;223,17;49,35;49,12;49,16;25,23;23,4;23,58;10938,21;6
294,9;31,13;29,46;22,45;72,23;223,37;222,6;223,15;49,34;49,12;49,16;25,24;23,4;23,59;10933,41;6
296,5;31,22;29,51;22,5;72,24;224,25;223,51;224,1;24,87;24,7;24,79;25,24;23,41;23,59;5522,16;6
298,1;31,32;29,57;22,55;72,25;224,39;223,54;224,2;24,88;24,7;24,8;25,24;23,41;23,59;6440,73;6
299,7;31,37;29,61;22,61;72,25;223,35;222,58;223,12;49,35;49,12;49,18;25,25;23,41;23,6;10931,63;6
301,3;31,46;29,66;22,64;72,27;223,33;222,54;223,01;49,33;49,12;49,16;25,25;23,42;23,6;10941,71;6
302,9;31,55;29,7;22,7;72,29;223,41;222,63;223,22;49,34;49,13;49,17;25,26;23,42;23,61;10936,75;6
304,5;31,61;29,75;22,75;72,3;223,52;222,66;223,2;49,36;49,12;49,17;25,26;23,43;23,61;10934,85;6
306,1;31,7;29,81;22,81;72,32;223,49;222,78;223,21;27,54;27,71;27,76;25,27;23,43;23,62;5529,34;6
307,7;31,79;29,88;22,87;72,32;223,94;223,24;223,76;24,84;24,67;24,75;25,27;23,44;23,62;5510,03;6
309,3;31,89;29,95;22,93;72,34;222,84;222,2;222,61;49,25;49,03;49,06;25,27;23,44;23,62;10878,78;6
310,9;31,96;30,01;22,98;72,35;222,77;222,05;222,45;49,21;48,98;49,01;25,28;23,44;23,63;10868,1;6
312,5;32,0;30,04;23,02;72,36;222,73;222,0;222,43;49,2;48,97;49,0;25,28;23,45;23,63;10876,85;6
314,1;32,07;30,09;23,07;72,38;222,75;222,1;222,53;49,19;48,98;49,01;25,29;23,45;23,64;10861,17;6
315,7;32,14;30,15;23,13;72,39;222,78;222,07;222,52;49,2;48,97;49,0;25,29;23,46;23,64;10865,78;6
317,3;32,25;30,21;23,17;72,41;223,64;222,8;223,21;24,8;24,63;24,7;25,3;23,46;23,65;5492,7;6
318,9;32,33;30,27;23,24;72,42;222,67;222,02;222,36;49,23;49,04;49,04;25,3;23,47;23,65;10882,73;6
320,5;32,41;30,32;23,29;72,43;222,61;222,05;222,37;49,21;49,0;49,01;25,3;23,47;23,66;10872,92;6
322,1;32,5;30,37;23,36;72,44;222,56;221,93;222,34;49,18;48,99;48,99;25,31;23,47;23,66;10874,63;6
323,7;32,54;30,41;23,4;72,45;222,56;221,87;222,39;49,18;48,98;48,99;25,32;23,48;23,67;10881,94;6
325,3;32,62;30,43;23,44;72,47;222,59;221,86;222,34;49,18;48,97;48,98;25,32;23,48;23,67;10875,71;6
326,9;32,71;30,5;23,5;72,49;223,73;222,96;223,44;24,82;24,65;24,72;25,32;23,49;23,67;5503,94;6
328,5;32,79;30,56;23,54;72,49;223,05;222,4;222,42;48,94;48,77;49,03;25,33;23,49;23,68;10879,93;6
330,1;32,87;30,61;23,59;72,51;222,77;222,08;222,43;49,21;49,0;49,03;25,33;23,5;23,68;10889,46;6
331,7;32,94;30,66;23,64;72,52;222,68;222,03;222,4;49,19;48,99;49,01;25,34;23,5;23,69;10872,42;6
333,3;33,01;30,71;23,69;72,53;222,82;222,07;222,49;49,21;49,0;48,99;25,34;23,5;23,69;10872,62;6
334,9;33,09;30,76;23,76;72,55;222,86;222,2;222,56;49,22;49,03;49,05;25,35;23,51;23,69;10892,78;6
336,5;33,12;30,79;23,78;72,56;223,84;223,14;223,65;24,84;24,66;24,74;25,35;23,52;23,7;5501,82;6
338,1;33,19;30,84;23,82;72,57;224,05;223,22;223,81;24,85;24,67;24,76;25,35;23,52;23,7;5506,89;6
339,7;33,27;30,89;23,89;72,58;222,97;222,26;222,67;49,29;49,07;49,1;25,36;23,52;23,71;10904,67;6
341,3;33,34;30,95;23,93;72,6;223,05;222,29;222,74;49,28;49,06;49,08;25,36;23,53;23,71;10903,18;6
342,9;33,41;31,0;23,98;72,61;222,84;222,08;222,48;49,24;49,04;49,05;25,37;23,53;23,72;10894,61;6
